brand,category,price,product,review_avg_rating,review_count,url
Duke Cannon Supply Co,shaving,25,Best Damn Beard Oil,4.6,71,https://www.ulta.com/best-damn-beard-oil?productId=xlsImpprod16171053
Peter Thomas Roth,skincare,54,AHA/BHA Acne Clearing Gel,4.4,71,https://www.ulta.com/ahabha-acne-clearing-gel?productId=xlsImpprod4930067
Issey Miyake,cologne,94,L'Eau D'Issey Pour Homme Eau de Toilette,4.9,68,https://www.ulta.com/leau-dissey-pour-homme-eau-de-toilette?productId=VP10636
Nioxin,hair,33.75,Night Density Rescue Treatment To Promote Hair Thickness,4.6,67,https://www.ulta.com/night-density-rescue-treatment-promote-hair-thickness?productId=xlsImpprod13881047
Clinique,skincare,19.5,Clinique For Men Face Wash,4.8,66,https://www.ulta.com/clinique-men-face-wash?productId=xlsImpprod6470047
Clinique,skincare,22,Clinique For Men Charcoal Face Wash,4.7,66,https://www.ulta.com/clinique-men-charcoal-face-wash?productId=xlsImpprod12841051
Burberry,cologne,84,Touch For Men Eau de Toilette,4.7,65,https://www.ulta.com/touch-men-eau-de-toilette?productId=xlsImpprod640888
Proactiv,skincare,40,Green Tea Moisturizer,4.5,65,https://www.ulta.com/green-tea-moisturizer?productId=xlsImpprod14651017
Jack Black,skincare,62,Protein Booster Skin Serum,4.9,64,https://www.ulta.com/protein-booster-skin-serum?productId=xlsImpprod3730193
Jack Black,shaving,19,Supreme Cream Triple Cushion Shave Lather,4.7,64,https://www.ulta.com/supreme-cream-triple-cushion-shave-lather?productId=xlsImpprod3730159
Redken,hair,29,"Brews 3-In-1 Shampoo, Conditioner and Body Wash",4.7,63,https://www.ulta.com/brews-3-in-1-shampoo-conditioner-body-wash?productId=xlsImpprod17701073
American Crew,hair,17.96,Pomade,4.5,63,https://www.ulta.com/pomade?productId=xlsImpprod10271120
Tigi,hair,22.99,Bed Head Manipulator Matte Wax,4.3,63,https://www.ulta.com/bed-head-manipulator-matte-wax?productId=xlsImpprod11131157
Calvin Klein,cologne,83,Eternity Aqua For Men Eau de Toilette,4.7,62,https://www.ulta.com/eternity-aqua-men-eau-de-toilette?productId=xlsImpprod2330009
Dermalogica,skincare,22,Clear Start Soothing Hydrating Lotion,4.2,62,https://www.ulta.com/clear-start-soothing-hydrating-lotion?productId=xlsImpprod12881033
Clinique,skincare,16,Clinique For Men Exfoliating Tonic,4.5,61,https://www.ulta.com/clinique-men-exfoliating-tonic?productId=prod2140585
Burberry,cologne,54,Brit For Men Eau de Toilette,4.1,61,https://www.ulta.com/brit-men-eau-de-toilette?productId=xlsImpprod640900
American Crew,hair,17.96,Fiber,4.4,60,https://www.ulta.com/fiber?productId=xlsImpprod10271096
Sebastian,hair,48,Dark Oil,4.9,59,https://www.ulta.com/dark-oil?productId=xlsImpprod14391053
Duke Cannon Supply Co,body ,7.99,Big Ass Brick of Soap - Smells Like Victory,4.8,59,https://www.ulta.com/big-ass-brick-of-soap-smells-like-victory?productId=xlsImpprod16171047
Murad,body ,44,Acne Body Wash,4.1,59,https://www.ulta.com/acne-body-wash?productId=xlsImpprod540250
Redken,hair,18.5,Brews Cream Pomade,4.7,58,https://www.ulta.com/brews-cream-pomade?productId=xlsImpprod17701079
Jack Black,body ,19,Pit Boss Antiperspirant & Deodorant,4.4,58,https://www.ulta.com/pit-boss-antiperspirant-deodorant?productId=xlsImpprod3730177
Ralph Lauren,cologne,88,Polo Eau de Toilette,5,57,https://www.ulta.com/polo-eau-de-toilette?productId=fs354209
Baxter of California,body ,19,Exfoliating Body Bar,4.7,57,https://www.ulta.com/exfoliating-body-bar?productId=xlsImpprod18591013
Redken,hair,17,Brews Holding Gel,4.5,57,https://www.ulta.com/brews-holding-gel?productId=xlsImpprod17701085
Guy Laroche,cologne,65,Drakkar Noir Eau de Toilette,4.6,56,https://www.ulta.com/drakkar-noir-eau-de-toilette?productId=fs688391
Clinique,skincare,19.5,Clinique For Men Oil Control Face Wash,4.5,56,https://www.ulta.com/clinique-men-oil-control-face-wash?productId=xlsImpprod6470049
Redken,hair,18.5,Brews Molding Paste,4.5,56,https://www.ulta.com/brews-molding-paste?productId=xlsImpprod17701077
Yves Saint Laurent,cologne,95,Y Eau de Toilette,5,55,https://www.ulta.com/y-eau-de-toilette?productId=xlsImpprod17891005
Redken,hair,20,Brews Thickening Pomade for Fine/Thinning Hair,4.6,55,https://www.ulta.com/brews-thickening-pomade-finethinning-hair?productId=pimprod2007308
Redken,hair,17,Brews Extra Clean Gel,4.5,54,https://www.ulta.com/brews-extra-clean-gel?productId=pimprod2007307
Redken,hair,18.5,Brews Texture Pomade,4.4,54,https://www.ulta.com/brews-texture-pomade?productId=xlsImpprod17701075
American Crew,hair,23.95,Daily Moisturizing Shampoo,4.3,54,https://www.ulta.com/daily-moisturizing-shampoo?productId=xlsImpprod10271090
Clinique,skincare,29.5,Clinique For Men Moisturizing Lotion,4.3,54,https://www.ulta.com/clinique-men-moisturizing-lotion?productId=xlsImpprod6470045
Clinique,skincare,40,Clinique For Men Anti-Age Moisturizer,3.7,53,https://www.ulta.com/clinique-men-anti-age-moisturizer?productId=xlsImpprod6470041
Feeling Beautiful,skincare,4.29,Pore Cleansing Volcanic Ash Peel-Off Mask,3.7,53,https://www.ulta.com/pore-cleansing-volcanic-ash-peel-off-mask?productId=xlsImpprod18751397
Ahava,skincare,35,Dermud Nourishing Body Cream,4.9,52,https://www.ulta.com/dermud-nourishing-body-cream?productId=xlsImpprod3230221
Gucci,cologne,95,Guilty Black Pour Homme Eau de Toilette,4.8,52,https://www.ulta.com/guilty-black-pour-homme-eau-de-toilette?productId=xlsImpprod5160153
Dolce&Gabbana,cologne,90,Pour Homme Eau de Toilette,4.7,52,https://www.ulta.com/pour-homme-eau-de-toilette?productId=fs685771
Ralph Lauren,cologne,85,Polo Double Black Eau de Toilette,4.6,51,https://www.ulta.com/polo-double-black-eau-de-toilette?productId=VP11935
